,102,104,105,106,107,10,110,112,113,114,116,118,11,120,121,122,123,124,125,126,127,129,130,131,132,133,134,140,141,142,14,150,151,153,154,157,159,15,160,161,162,163,164,165,16,170,171,172,173,174,175,176,177,179,17,180,181,183,184,185,186,187,18,193,194,196,197,198,199,19,1,200,203,206,207,208,209,20,211,214,218,222,224,225,226,227,229,22,232,234,239,23,242,243,244,245,247,24,252,254,255,258,259,260,261,262,264,267,268,26,272,276,277,278,279,27,282,283,284,285,286,289,28,291,292,293,294,296,299,29,300,302,304,306,308,309,30,311,312,314,315,316,317,318,319,31,320,321,322,324,327,328,329,32,331,333,334,335,336,337,33,340,342,343,344,345,346,347,350,354,355,357,358,35,361,362,363,366,368,369,36,370,371,372,375,376,378,379,38,39,40,41,42,43,45,47,48,50,53,54,59,61,65,66,67,68,69,6,70,71,76,78,79,7,80,84,85,86,87,88,89,92,93,94,95,96,97,99,9
M43B,5,1,0,2,1,1,3,1,1,2,1,1,2,2,0,0,0,1,1,0,1,3,1,2,0,0,1,0,0,0,0,1,2,3,0,0,4,0,2,2,2,1,1,2,0,2,2,1,1,2,2,2,1,2,0,0,1,2,2,5,0,2,2,2,0,1,0,3,0,0,0,0,3,3,0,1,2,3,1,0,2,0,2,1,0,2,1,0,0,0,0,2,3,0,1,2,2,1,1,1,2,2,2,1,1,1,0,1,3,1,1,1,1,0,1,3,0,1,1,4,7,1,1,5,2,2,1,2,0,1,0,1,0,1,0,0,3,1,0,1,1,3,3,3,2,1,0,2,1,5,3,1,3,1,1,2,1,3,0,4,1,0,1,1,0,0,1,0,1,2,0,1,1,2,0,1,1,1,0,1,0,3,1,1,2,4,0,1,1,0,1,1,1,1,6,6,2,6,2,2,0,0,4,2,1,1,2,0,1,1,2,4,2,7,2,1,2,2,0,2,5,5,1,1,2,2,0,1,0
G01,4,4,5,3,2,2,1,5,3,1,5,1,7,0,1,4,2,3,4,1,3,3,3,7,5,5,5,5,0,1,7,5,1,1,1,1,4,2,1,7,1,6,1,7,0,6,6,3,1,5,0,7,5,6,0,0,3,6,7,4,1,6,3,4,5,4,1,1,6,2,4,0,1,1,4,5,6,7,7,3,6,4,2,4,4,0,4,2,0,0,3,1,6,0,2,1,3,4,4,3,8,1,1,4,4,5,0,2,8,0,1,2,2,1,2,3,2,2,1,1,3,2,0,3,3,1,2,1,0,3,5,2,5,4,2,1,1,2,0,2,2,0,1,0,5,4,0,0,4,4,3,4,0,4,4,5,6,6,4,0,3,0,2,3,0,3,3,0,3,7,2,1,1,3,1,6,0,5,0,1,0,2,3,3,3,0,0,2,0,2,2,2,2,1,9,9,4,9,2,1,0,0,3,0,2,2,2,3,3,4,3,2,0,0,3,3,3,3,2,5,4,4,3,3,5,0,2,0,1
S09X,29,33,46,22,36,66,74,37,35,44,72,36,92,53,4,17,12,25,35,34,84,108,82,91,38,35,38,30,1,36,36,68,38,63,40,7,72,26,42,91,47,77,23,90,30,96,86,46,11,37,36,95,52,64,5,23,43,37,92,29,11,38,35,49,35,44,12,67,22,28,30,25,49,49,23,36,34,41,36,51,28,60,86,35,19,18,49,30,21,16,11,46,37,16,46,42,29,42,31,17,55,48,63,35,21,22,7,30,56,38,34,44,27,19,34,44,31,41,23,79,47,26,14,42,20,48,31,44,11,74,17,29,29,36,8,22,62,27,18,27,17,33,48,44,28,48,18,60,48,76,23,27,4,30,25,29,36,37,14,60,34,1,21,18,4,35,9,0,57,42,21,13,12,27,2,49,11,21,16,3,5,55,37,39,35,51,20,35,22,18,38,35,55,13,31,33,48,33,23,12,11,6,26,59,46,37,44,24,37,35,23,33,17,14,16,32,21,20,13,47,26,27,34,33,42,27,11,19,18
M20X,2,2,1,1,1,2,3,2,4,0,2,2,0,2,0,2,0,1,1,0,2,3,2,0,2,1,3,2,0,2,1,2,6,3,6,1,2,2,2,1,1,0,0,0,1,0,1,2,0,1,0,1,2,0,0,0,0,1,0,2,1,1,3,1,2,0,0,2,2,2,1,0,1,1,1,2,1,1,1,0,1,1,2,1,1,1,0,2,1,0,2,1,1,1,2,1,1,3,1,1,1,1,3,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,3,0,4,0,0,1,1,1,1,0,1,1,1,1,3,1,1,2,1,2,1,1,2,3,1,0,2,0,3,2,3,1,0,0,3,1,1,1,1,1,2,1,0,1,1,0,4,1,1,2,1,2,1,1,1,1,0,0,1,0,0,1,2,1,1,1,3,3,0,0,2,2,1,3,0,2,2,0,2,1,1,0,0,0,3,2,2,2,2,0,0,1,1,0,0,1,2,1,1,0,0,2,2,2,2,0,0,0,0,1
S33,31,45,55,21,53,47,56,59,32,36,41,32,58,35,6,9,8,36,53,11,47,72,46,60,52,54,56,39,4,29,61,47,33,62,49,14,59,24,36,65,39,60,11,63,21,65,55,26,6,58,39,65,32,44,5,17,26,60,66,30,20,59,31,65,47,33,11,55,32,24,41,25,54,50,29,57,57,61,50,31,41,35,65,55,32,20,35,26,16,16,21,33,60,13,47,36,33,32,47,34,67,35,52,58,32,30,7,41,66,23,30,36,45,24,28,42,26,36,23,62,39,26,20,30,17,40,24,34,10,44,27,43,42,29,11,34,51,41,8,39,26,36,38,39,38,40,14,63,38,51,19,38,12,33,40,45,62,63,27,51,52,3,27,25,4,35,21,3,45,61,15,15,15,22,10,55,14,39,14,8,11,57,42,59,33,40,21,32,19,18,31,52,49,14,44,42,52,43,21,15,10,9,29,64,40,38,42,27,34,34,17,43,25,28,18,32,19,18,25,52,29,30,51,55,56,20,17,19,18
M28A,2,4,3,1,5,1,6,2,2,7,0,7,3,7,1,0,0,3,5,0,1,6,1,3,2,2,2,3,0,6,3,0,4,7,5,3,8,7,7,3,5,2,0,3,7,3,3,1,0,2,3,3,0,2,2,1,3,2,3,2,1,2,4,3,3,3,3,7,3,7,3,2,6,6,4,2,2,2,2,1,2,2,7,3,3,3,1,7,6,0,3,7,2,4,4,8,4,3,3,3,6,6,7,3,3,3,0,6,6,6,2,2,6,2,2,5,2,2,3,6,2,0,6,1,3,5,0,7,1,1,2,4,3,3,0,5,6,5,0,5,4,4,5,6,3,1,1,7,2,6,3,3,1,3,2,2,2,2,1,6,6,0,5,3,0,3,3,0,1,2,1,1,4,1,4,7,3,6,0,1,0,9,4,4,6,8,5,1,4,0,0,5,6,5,2,2,6,2,2,2,2,0,5,7,2,2,2,3,4,2,2,3,1,3,2,1,2,2,3,7,2,2,6,5,9,4,1,6,1
M80,3,3,1,3,3,2,2,3,2,3,1,1,3,2,0,0,0,3,3,1,2,5,2,3,3,3,3,2,0,3,3,2,1,2,2,1,4,4,3,2,3,3,2,3,3,2,3,2,0,3,1,2,2,2,0,1,2,3,3,3,1,3,3,3,2,2,0,3,1,4,3,1,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,5,3,1,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,1,2,3,3,3,3,3,1,3,3,3,3,3,3,3,1,2,2,2,3,3,3,0,2,3,2,3,3,0,2,3,3,2,3,3,2,3,4,3,2,1,3,2,2,3,3,1,3,3,2,3,3,2,3,3,0,2,2,0,2,2,1,2,3,1,1,2,3,1,3,2,3,2,0,0,3,3,3,3,2,1,0,3,2,3,3,3,1,3,4,3,3,3,3,1,1,3,3,2,2,2,2,3,1,3,3,0,2,3,2,3,3,1,3,3,3,3,3,3,2,0,1,2
A01A,25,18,24,17,20,12,19,20,10,10,14,17,27,15,6,4,4,16,23,10,14,23,14,28,20,21,22,20,1,10,24,13,11,20,13,15,22,9,10,25,25,24,12,27,6,26,27,14,1,21,26,26,11,23,2,26,26,24,29,22,11,23,25,25,21,21,7,20,21,10,20,28,10,10,19,22,22,21,21,18,20,14,21,22,19,5,13,10,4,7,18,12,23,5,23,10,17,26,17,18,24,17,15,21,17,17,6,14,24,5,10,11,22,11,11,25,11,12,11,21,24,9,4,24,18,26,9,8,9,14,17,17,23,24,9,14,11,15,5,17,12,17,11,9,20,12,17,8,8,18,17,19,4,21,17,19,21,20,17,13,20,1,14,11,2,22,7,0,9,21,9,8,7,18,5,25,3,12,6,4,8,9,17,17,26,21,14,17,4,6,13,22,21,4,26,26,25,26,16,12,6,6,18,11,9,6,8,19,23,19,17,15,10,6,19,8,18,20,9,27,22,26,20,21,26,3,15,6,20
M48A,1,1,1,1,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,0,2,1,1,0,2,1,1,2,1,1,1,1,1,0,1,2,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,0,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,2,2,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,3,3,1,3,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,0,1
